2020.09.10-19.40.19,v1.07,  [clojure.main$null_opt invokeStatic main.clj 519]
2020.09.10-19.40.19,v1.07,  [clojure.main$null_opt invoke main.clj 516]
2020.09.10-19.40.19,v1.07,  [clojure.main$main invokeStatic main.clj 598]
2020.09.10-19.40.19,v1.07,  [clojure.main$main doInvoke main.clj 561]
2020.09.10-19.40.19,v1.07,  [clojure.lang.RestFn applyTo RestFn.java 137]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Var applyTo Var.java 705]
2020.09.10-19.40.19,v1.07,  [clojure.main main main.java 37]]}
2020.09.10-19.40.19,v1.07,1 , 87 , (8 3 9 10 7) , 78 , ((10 * 9) - 3) , 10
2020.09.10-19.40.19,v1.07,#error {
2020.09.10-19.40.19,v1.07, :cause nil
2020.09.10-19.40.19,v1.07, :via
2020.09.10-19.40.19,v1.07, [{:type java.lang.NullPointerException
2020.09.10-19.40.19,v1.07,   :message nil
2020.09.10-19.40.19,v1.07,   :at [clojure.lang.RT intCast RT.java 1216]}]
2020.09.10-19.40.19,v1.07, :trace
2020.09.10-19.40.19,v1.07, [[clojure.lang.RT intCast RT.java 1216]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest invokeStatic misc.clj 74]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest invoke misc.clj 68]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest_seq invokeStatic misc.clj 83]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest_seq invoke misc.clj 76]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invokeStatic cyto.clj 339]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invoke cyto.clj 334]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invokeStatic cyto.clj 340]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invoke cyto.clj 334]
2020.09.10-19.40.19,v1.07,  [numbo.codelet$seek_facsimile$fn__1247 invoke codelet.clj 274]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$_execute invokeStatic coderack.clj 38]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$_execute invoke coderack.clj 35]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$process_next_codelet invokeStatic coderack.clj 47]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$process_next_codelet invoke coderack.clj 40]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_until invokeStatic core.clj 96]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_until invoke core.clj 92]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_for_iterations invokeStatic core.clj 108]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_for_iterations invoke core.clj 106]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_calcs$fn__7233 invoke core.clj 162]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_calcs invokeStatic core.clj 153]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_calcs invoke core.clj 147]
2020.09.10-19.40.19,v1.07,  [numbo.core$_main invokeStatic core.clj 186]
2020.09.10-19.40.19,v1.07,  [numbo.core$_main doInvoke core.clj 175]
2020.09.10-19.40.19,v1.07,  [clojure.lang.RestFn invoke RestFn.java 619]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Var invoke Var.java 435]
2020.09.10-19.40.19,v1.07,  [user$eval140 invokeStatic form-init9983141075638397887.clj 1]
2020.09.10-19.40.19,v1.07,  [user$eval140 invoke form-init9983141075638397887.clj 1]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler eval Compiler.java 7176]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler eval Compiler.java 7166]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler load Compiler.java 7635]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler loadFile Compiler.java 7573]
2020.09.10-19.40.19,v1.07,  [clojure.main$load_script invokeStatic main.clj 452]
2020.09.10-19.40.19,v1.07,  [clojure.main$init_opt invokeStatic main.clj 454]
2020.09.10-19.40.19,v1.07,  [clojure.main$init_opt invoke main.clj 454]
2020.09.10-19.40.19,v1.07,  [clojure.main$initialize invokeStatic main.clj 485]
2020.09.10-19.40.19,v1.07,  [clojure.main$null_opt invokeStatic main.clj 519]
2020.09.10-19.40.19,v1.07,  [clojure.main$null_opt invoke main.clj 516]
2020.09.10-19.40.19,v1.07,  [clojure.main$main invokeStatic main.clj 598]
2020.09.10-19.40.19,v1.07,  [clojure.main$main doInvoke main.clj 561]
2020.09.10-19.40.19,v1.07,  [clojure.lang.RestFn applyTo RestFn.java 137]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Var applyTo Var.java 705]
2020.09.10-19.40.19,v1.07,  [clojure.main main main.java 37]]}
2020.09.10-19.40.19,v1.07,#error {
2020.09.10-19.40.19,v1.07, :cause nil
2020.09.10-19.40.19,v1.07, :via
2020.09.10-19.40.19,v1.07, [{:type java.lang.NullPointerException
2020.09.10-19.40.19,v1.07,   :message nil
2020.09.10-19.40.19,v1.07,   :at [clojure.lang.RT intCast RT.java 1216]}]
2020.09.10-19.40.19,v1.07, :trace
2020.09.10-19.40.19,v1.07, [[clojure.lang.RT intCast RT.java 1216]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest invokeStatic misc.clj 74]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest invoke misc.clj 68]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest_seq invokeStatic misc.clj 83]
2020.09.10-19.40.19,v1.07,  [numbo.misc$fuzzy_closest_seq invoke misc.clj 76]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invokeStatic cyto.clj 339]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invoke cyto.clj 334]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invokeStatic cyto.clj 340]
2020.09.10-19.40.19,v1.07,  [numbo.cyto$closest_nodes invoke cyto.clj 334]
2020.09.10-19.40.19,v1.07,  [numbo.codelet$seek_facsimile$fn__1247 invoke codelet.clj 274]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$_execute invokeStatic coderack.clj 38]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$_execute invoke coderack.clj 35]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$process_next_codelet invokeStatic coderack.clj 47]
2020.09.10-19.40.19,v1.07,  [numbo.coderack$process_next_codelet invoke coderack.clj 40]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_until invokeStatic core.clj 96]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_until invoke core.clj 92]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_for_iterations invokeStatic core.clj 108]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_for_iterations invoke core.clj 106]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_calcs$fn__7233 invoke core.clj 162]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_calcs invokeStatic core.clj 153]
2020.09.10-19.40.19,v1.07,  [numbo.core$run_calcs invoke core.clj 147]
2020.09.10-19.40.19,v1.07,  [numbo.core$_main invokeStatic core.clj 186]
2020.09.10-19.40.19,v1.07,  [numbo.core$_main doInvoke core.clj 175]
2020.09.10-19.40.19,v1.07,  [clojure.lang.RestFn invoke RestFn.java 619]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Var invoke Var.java 435]
2020.09.10-19.40.19,v1.07,  [user$eval140 invokeStatic form-init9983141075638397887.clj 1]
2020.09.10-19.40.19,v1.07,  [user$eval140 invoke form-init9983141075638397887.clj 1]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler eval Compiler.java 7176]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler eval Compiler.java 7166]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler load Compiler.java 7635]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Compiler loadFile Compiler.java 7573]
2020.09.10-19.40.19,v1.07,  [clojure.main$load_script invokeStatic main.clj 452]
2020.09.10-19.40.19,v1.07,  [clojure.main$init_opt invokeStatic main.clj 454]
2020.09.10-19.40.19,v1.07,  [clojure.main$init_opt invoke main.clj 454]
2020.09.10-19.40.19,v1.07,  [clojure.main$initialize invokeStatic main.clj 485]
2020.09.10-19.40.19,v1.07,  [clojure.main$null_opt invokeStatic main.clj 519]
2020.09.10-19.40.19,v1.07,  [clojure.main$null_opt invoke main.clj 516]
2020.09.10-19.40.19,v1.07,  [clojure.main$main invokeStatic main.clj 598]
2020.09.10-19.40.19,v1.07,  [clojure.main$main doInvoke main.clj 561]
2020.09.10-19.40.19,v1.07,  [clojure.lang.RestFn applyTo RestFn.java 137]
2020.09.10-19.40.19,v1.07,  [clojure.lang.Var applyTo Var.java 705]
2020.09.10-19.40.19,v1.07,  [clojure.main main main.java 37]]}
